ID,Lokācija / pins,Novads/reģions,Prioritātes klase,Lat,Lng,Ģeoloģiskais pamatojums,Testēšanas mērķis,Piekļuves piezīme,Avota URL,Google Maps URL,My Maps adrese,Statuss
1,Apriķi / Lažas pagasts,Dienvidkurzeme,A — oficiāla valsts nozīmes māla atradne,56.695,21.401,Māls: keramzīta un būvkeramikas izejviela,Kurzemes/Tebras baseina mālu pārbaude,Iegūt tikai ar īpašnieka/karjera atļauju; punkts ir aptuvens,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.695000,21.401000","Apriķi / Lažas pagasts, Dienvidkurzeme, Latvija",Nav testēts
2,Brocēni II,Saldus novads,A — oficiāla valsts nozīmes māla atradne,56.675,22.535,Māls: cementa ražošanai; karbonātiskuma risks,Salīdzināt ar trauku māliem kā rūpniecisku izejvielu,Rūpnieciska zona; neņemt bez saskaņošanas,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.675000,22.535000","Brocēni II, Saldus novads, Latvija",Nav testēts
3,Kaiģi / Kalnciems–Līvbērze–Valgunde,Jelgavas novads,A — oficiāla valsts nozīmes māla atradne,56.815,23.585,Māls: ķieģeļu ražošana; Lielupes/Zemgales māli,Ļoti labs Zemgales mālu kontrolpunkts,"Meklēt legālus atsegumus, dīķu rakumus, grāvjus",https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.815000,23.585000","Kaiģi / Kalnciems–Līvbērze–Valgunde, Jelgavas novads, Latvija",Nav testēts
4,Kuprava,Balvu novads,A — oficiāla valsts nozīmes māla atradne,57.245,27.561,Māls: keramzīta un būvkeramikas izejviela,Ziemeļaustrumu devona/Katlešu svītas pārbaude,Saskaņot piekļuvi; neiet karjerā bez atļaujas,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.245000,27.561000","Kuprava, Balvu novads, Latvija",Nav testēts
5,Liepa,Cēsu novads,A — oficiāla valsts nozīmes māla atradne,57.385,25.425,Māls: dažāda būvkeramika; klasiska Latvijas mālu zona,Viens no svarīgākajiem etalona paraugiem,Daļa teritoriju var būt īpaši aizsargājamas; vajag atļauju,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.385000,25.425000","Liepa, Cēsu novads, Latvija",Nav testēts
6,Nīcgale,Augšdaugavas novads,A — oficiāla valsts nozīmes māla atradne,56.055,26.325,Māls: keramzīta un būvkeramikas izejviela,Latgales/Daugavas baseina kontrolpunkts,Saskaņot īpašnieku un piekļuvi,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.055000,26.325000","Nīcgale, Augšdaugavas novads, Latvija",Nav testēts
7,Usma,Ventspils novads,A — oficiāla valsts nozīmes māla atradne,57.176,22.162,Māls: būvkeramikas izejviela,Ventas–Usmas baseina māli,Punkts aptuvens; pārbaudīt ZDzIS,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.176000,22.162000","Usma, Ventspils novads, Latvija",Nav testēts
8,Venta / Pampāļi,Saldus novads,A — oficiāla valsts nozīmes māla atradne,56.525,22.0,Māls: cementa un būvkeramikas izejviela,Kurzemes/Saldus puses mālu paraugs,Karbonātiskuma un kaļķa ieslēgumu pārbaude obligāta,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.525000,22.000000","Venta / Pampāļi, Saldus novads, Latvija",Nav testēts
9,Lode / Liepas apkārtne,Cēsu novads,B — dokumentēta devona mālu zona,57.39,25.46,Devona māli pie Liepas/Lodes,Salīdzināt ar Liepas etalonu; meklēt atsegumus,Piekļuve tikai ar atļauju; dabas aizsardzības riski,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.390000,25.460000","Lode / Liepas apkārtne, Cēsu novads, Latvija",Nav testēts
10,Gāršas / Gaujas ielejas mala,Cēsu novads,B — dokumentēta devona mālu zona,57.405,25.435,Gaujas svītas mālu rajons,"Paraugs no atsegumiem, ja piekļuve likumīga",Gaujas NP zonā īpaši uzmanīgi ar noteikumiem,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.405000,25.435000","Gāršas / Gaujas ielejas mala, Cēsu novads, Latvija",Nav testēts
11,Smiltene,Smiltenes novads,B — perspektīva devona mālu zona,57.424,25.901,Ziemeļvidzemes devona māli nelielā/biezākā dziļumā,"Meklēt būvbedres, grāvjus, upju krastus",Neņemt no privātas zemes bez saskaņošanas,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.424000,25.901000","Smiltene, Smiltenes novads, Latvija",Nav testēts
12,Rauna,Cēsu novads,B — devona nogulumu meklēšanas zona,57.33,25.61,Gaujas baseina devona nogulumi,Labs starppunkts starp Liepu un Smilteni,Meklēt dabīgus atsegumus un izsijāt karbonātus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.330000,25.610000","Rauna, Cēsu novads, Latvija",Nav testēts
13,Cēsis / Gaujas krastu atsegumi,Cēsu novads,B — devona nogulumu meklēšanas zona,57.313,25.271,Gaujas senlejas ģeoloģiska zona,Nelieli testparaugi no legāli pieejamiem atsegumiem,Aizsargājamas teritorijas: nepostīt atsegumus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.313000,25.271000","Cēsis / Gaujas krastu atsegumi, Cēsu novads, Latvija",Nav testēts
14,Tūja,Limbažu novads,B — Burtnieku svītas mālu rajons,57.493,24.383,Burtnieku svītas māli Ziemeļvidzemē,Pārbaudīt plastiskumu un karbonātiskus ieslēgumus,Piekrastē daudz smilšu; jāmeklē māla slāņi iekšzemē,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.493000,24.383000","Tūja, Limbažu novads, Latvija",Nav testēts
15,Vitrupe,Limbažu novads,B — Burtnieku svītas mālu rajons,57.631,24.393,Ziemeļvidzemes devona mālu zona,Upju/grāvju atsegumu pārbaude,Nejaukt ar piekrastes smiltīm,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.631000,24.393000","Vitrupe, Limbažu novads, Latvija",Nav testēts
16,Pāle,Limbažu novads,B — Burtnieku svītas mālu rajons,57.707,24.716,Burtnieku svītas un Ziemeļvidzemes mālu iespējamība,Iekļaut ziemeļu paraugu sērijā,Pirms rakšanas precizēt ZDzIS un īpašumu robežas,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.707000,24.716000","Pāle, Limbažu novads, Latvija",Nav testēts
17,Mazsalaca,Valmieras novads,B — Burtnieku/Gaujas devona zona,57.862,25.055,Salacas ielejas un Ziemeļvidzemes nogulumi,Meklēt upes atsegumus un vietējos grāvjus,Aizsargājamas ainavas/krastu erozijas risks,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.862000,25.055000","Mazsalaca, Valmieras novads, Latvija",Nav testēts
18,Burtnieki,Valmieras novads,B — Burtnieku svītas atslēgvieta,57.693,25.279,Burtnieku apkārtne kā devona mālu nosaukuma rajons,Labs nosaukuma/ģeoloģiskā rajona paraugs,Var būt daudz karbonātu; testēt kaļķi,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.693000,25.279000","Burtnieki, Valmieras novads, Latvija",Nav testēts
19,Rūjiena,Valmieras novads,B — Ziemeļvidzemes mālu izpētes zona,57.897,25.331,Ziemeļvidzemes devona nogulumu rajons,Ziemeļu paraugs salīdzināšanai ar Burtniekiem,Meklēt tīru slāni zem organikas,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.897000,25.331000","Rūjiena, Valmieras novads, Latvija",Nav testēts
20,Staicele,Limbažu novads,B — Ziemeļvidzemes/Salacas baseina izpētes zona,57.833,24.75,Salacas baseina mālainu slāņu meklēšana,Paraugs no upju un grāvju atsegumiem,Neņemt no aizsargājamiem biotopiem,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.833000,24.750000","Staicele, Limbažu novads, Latvija",Nav testēts
21,Valmiera / Gaujas ieleja,Valmieras novads,B — devona nogulumu meklēšanas zona,57.538,25.425,Gaujas baseina devona mālu sistēma,Pilsētas apkārtnes kontrolpunkts,Izvairīties no piesārņotām zonām un ceļmalām,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.538000,25.425000","Valmiera / Gaujas ieleja, Valmieras novads, Latvija",Nav testēts
22,Kalnciems,Jelgavas novads,B — Zemgales/Lielupes mālu zona,56.807,23.611,Zemgales glaciolimniskie māli; ķieģeļu tradīcija,Labs punkts baltāku/karbonātisku mālu testiem,Lielupes krastos ievērot īpašuma un dabas noteikumus,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes; https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.807000,23.611000","Kalnciems, Jelgavas novads, Latvija",Nav testēts
23,Valgunde,Jelgavas novads,B — Zemgales mālu zona,56.742,23.6,Zemgales bezakmeņu mālu areāls,Meklēt meliorācijas grāvjus un dīķu rakumus,Aramzemē jāņem tikai ar īpašnieka atļauju,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.742000,23.600000","Valgunde, Jelgavas novads, Latvija",Nav testēts
24,Līvbērze,Jelgavas novads,B — Zemgales mālu zona,56.692,23.5,Zemgales līdzenuma mālainie cilmieži,Salīdzināt ar Kaiģu/Kalnciema māliem,Riski: pesticīdi/organika virskārtā; ņemt dziļāk,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.692000,23.500000","Līvbērze, Jelgavas novads, Latvija",Nav testēts
25,Jelgava / Lielupes līdzenums,Jelgavas novads,B — Zemgales mālu zona,56.651,23.722,Zemgales glaciolimniskie māli,Pilsētas apkārtnes kontrolpunkts,Izvairīties no industriāli piesārņotām vietām,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.651000,23.722000","Jelgava / Lielupes līdzenums, Jelgavas novads, Latvija",Nav testēts
26,Ozolnieki,Jelgavas novads,B — Zemgales mālu zona,56.69,23.793,Zemgales vidējo/vieglo bezakmeņu mālu areāls,Meklēt tīrus grāvju atsegumus,Saskaņot piekļuvi privātām teritorijām,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.690000,23.793000","Ozolnieki, Jelgavas novads, Latvija",Nav testēts
27,Dobele,Dobeles novads,B — Zemgales mālu zona,56.623,23.275,Zemgales līdzenuma un Dobeles apkārtnes mālaini cilmieži,Labs Dobeles puses paraugs,Testēt karbonātiskumu un sarukumu,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.623000,23.275000","Dobele, Dobeles novads, Latvija",Nav testēts
28,Bērze,Dobeles novads,B — Zemgales mālu zona,56.705,23.33,Zemgales līdzenuma mālainās augsnes,Meliorācijas grāvju/dīķu izpēte,Neņemt no lauka virskārtas; meklēt zem humusa,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.705000,23.330000","Bērze, Dobeles novads, Latvija",Nav testēts
29,Tērvete,Dobeles novads,B — Zemgales mālu zona,56.479,23.385,Zemgales dienvidu mālaini cilmieži,Dienvidzemgales paraugs,Aizsargājamas dabas teritorijas: ievērot noteikumus,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.479000,23.385000","Tērvete, Dobeles novads, Latvija",Nav testēts
30,Auce,Dobeles novads,B — Zemgales/Auces apkārtnes izpētes zona,56.459,22.902,Mālaini līdzenumu nogulumi Dobeles/Auces pusē,Salīdzināt ar Lielauci,Nejaukt ar kaļķakmens/dolomīta materiālu,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.459000,22.902000","Auce, Dobeles novads, Latvija",Nav testēts
31,Lielauce,Dobeles novads,B — zināma kvartāra mālu izpētes/ieguves zona,56.506,22.894,Kvartāra mālu kandidātteritorija,Labs Zemgales rietumu paraugs,Pārbaudīt piekļuvi un ZDzIS ierakstus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.506000,22.894000","Lielauce, Dobeles novads, Latvija",Nav testēts
32,Bēne,Dobeles novads,C — Zemgales mālu izpētes punkts,56.471,22.824,Mālaini cilmieži Auces/Bēnes apkārtnē,Paplašina rietumzemgales paraugu tīklu,Vajag lauka testus; nav atradne pati par sevi,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.471000,22.824000","Bēne, Dobeles novads, Latvija",Nav testēts
33,Eleja,Jelgavas novads,C — Zemgales mālu izpētes punkts,56.411,23.689,Dienvidzemgales līdzenuma mālainās augsnes,Dienvidu kontroles paraugs,Iespējama lauksaimniecības ķīmija virskārtā,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.411000,23.689000","Eleja, Jelgavas novads, Latvija",Nav testēts
34,Vilce,Jelgavas novads,C — Zemgales mālu izpētes punkts,56.39,23.575,Zemgales līdzenuma dienvidrietumu mālaini cilmieži,Paraugs no grāvju atsegumiem,Saskaņot ar zemes īpašnieku,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.390000,23.575000","Vilce, Jelgavas novads, Latvija",Nav testēts
35,Kazdanga,Dienvidkurzemes novads,C — Tebras baseina mālu izpētes punkts,56.735,21.734,Kurzemes/Tebras glaciolimniskā baseina tuvums,Papildina Apriķu/Aizputes paraugus,Meklēt dīķu rakumus un grāvjus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.735000,21.734000","Kazdanga, Dienvidkurzemes novads, Latvija",Nav testēts
36,Aizpute,Dienvidkurzemes novads,C — Tebras baseina mālu izpētes punkts,56.721,21.601,Tebras baseina rajons pie Apriķiem,Lokāls kontrolpunkts Dienvidkurzemē,Izvairīties no pilsētas piesārņotām vietām,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.721000,21.601000","Aizpute, Dienvidkurzemes novads, Latvija",Nav testēts
37,Durbe,Dienvidkurzemes novads,C — Kurzemes glaciolimnisko mālu izpētes punkts,56.588,21.369,Dienvidkurzemes pazeminājumu mālu iespējamība,Rietumkurzemes paraugs,"Meklēt tīrus atsegumus, ne virskārtu",https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.588000,21.369000","Durbe, Dienvidkurzemes novads, Latvija",Nav testēts
38,Skrunda,Kuldīgas novads,C — Ventas baseina izpētes punkts,56.676,22.016,Ventas baseina mālu/grāvju atsegumu meklēšana,Starppunkts starp Pampāļiem un Kuldīgu,Pārbaudīt smilts piemaisījumus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.676000,22.016000","Skrunda, Kuldīgas novads, Latvija",Nav testēts
39,Saldus,Saldus novads,C — Kurzemes/Saldus mālu izpētes punkts,56.665,22.493,Saldus apkārtnes rūpniecisko mālu tuvums,Kontrolpunkts Brocēni/Venta atradnēm,Neņemt no ceļmalām vai rūpnieciskām zonām,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.665000,22.493000","Saldus, Saldus novads, Latvija",Nav testēts
40,Ugāle,Ventspils novads,C — Ventas–Usmas baseina izpētes punkts,57.275,22.046,Ventas–Usmas baseina glaciolimniskie nogulumi,Salīdzināt ar Usmas māliem,Var būt smilšainas zonas; jāmeklē māla slānis,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.275000,22.046000","Ugāle, Ventspils novads, Latvija",Nav testēts
41,Kuldīga / Venta,Kuldīgas novads,C — Ventas baseina izpētes punkts,56.969,21.968,Ventas ielejas atsegumu un nogulumu meklēšana,Kurzemes vidusdaļas kontroles paraugs,Dabas un kultūras teritorijās nekaitēt atsegumiem,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.969000,21.968000","Kuldīga / Venta, Kuldīgas novads, Latvija",Nav testēts
42,Lubāna,Madonas novads,B — Lubāna līdzenuma mālu zona,56.904,26.718,Smagie bezakmeņu māli Lubāna līdzenumā,"Ļoti labs smaga, plastiska māla kandidāts",Purvainās vietās ņemt tikai minerālo mālu zem organikas,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes; https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.904000,26.718000","Lubāna, Madonas novads, Latvija",Nav testēts
43,Meirāni,Madonas novads,C — Lubāna līdzenuma izpētes punkts,56.82,26.7,Lubāna līdzenuma dienvidu mala,Smags/glejots māls salīdzināšanai,Uzmanīties no mitrājiem un aizsargājamām teritorijām,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.820000,26.700000","Meirāni, Madonas novads, Latvija",Nav testēts
44,Barkava,Madonas novads,C — Lubāna līdzenuma izpētes punkts,56.736,26.558,Lubāna līdzenuma un Austrumlatvijas mālaini cilmieži,Labs Latgales/Vidzemes robežas paraugs,Meklēt meliorācijas grāvjus,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.736000,26.558000","Barkava, Madonas novads, Latvija",Nav testēts
45,Nagļi,Rēzeknes novads,C — Lubāna līdzenuma izpētes punkts,56.745,26.922,Lubāna mitrāja austrumu mala,Iekļaut ezera/līdzenuma mālu spektrā,Dabas liegumos nerakt; tikai legāli pieejami atsegumi,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes; https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.745000,26.922000","Nagļi, Rēzeknes novads, Latvija",Nav testēts
46,Varakļāni,Varakļānu novads,C — Lubāna līdzenuma/Daugavas baseina izpētes punkts,56.607,26.754,Austrumlatvijas zemienes mālaini cilmieži,Kontrolpunkts starp Lubānu un Līvāniem,Vajag lauka testus un ZDzIS pārbaudi,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.607000,26.754000","Varakļāni, Varakļānu novads, Latvija",Nav testēts
47,Gaigalava,Rēzeknes novads,C — Lubāna līdzenuma izpētes punkts,56.738,27.075,Austrumlatvijas zemienes/Lubāna baseina tuvums,Austrumu kontroles paraugs,Pārbaudīt organiku un dzelzs savienojumus,https://enciklopedija.lv/skirklis/26023-Latvijas-augsnes,"https://www.google.com/maps/search/?api=1&query=56.738000,27.075000","Gaigalava, Rēzeknes novads, Latvija",Nav testēts
48,Līvāni,Līvānu novads,B — zināma Latgales mālu/keramikas izpētes zona,56.354,26.177,Daugavas baseina kvartāra mālu kandidātteritorija,Svarīgs Latgales funkcionālās keramikas paraugs,Meklēt tīru slāni ārpus piesārņotām zonām,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.354000,26.177000","Līvāni, Līvānu novads, Latvija",Nav testēts
49,Jersika,Līvānu novads,C — Daugavas baseina izpētes punkts,56.249,26.175,Daugavas ielejas mālainu nogulumu meklēšana,Papildina Līvānu paraugu,Krastu zonās ievērot erozijas un īpašuma noteikumus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.249000,26.175000","Jersika, Līvānu novads, Latvija",Nav testēts
50,Preiļi,Preiļu novads,C — Latgales mālu izpētes punkts,56.294,26.724,Latgales līdzenumu/pazeminājumu mālaini nogulumi,Dienvidaustrumu kontrolpunkts kolekcijai,Vajag obligātus plastiskuma un apdedzināšanas testus,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=56.294000,26.724000","Preiļi, Preiļu novads, Latvija",Nav testēts
